,corp_code,corp_name,stock_code
93,01169267,세화피앤씨,252500
94,00325112,프로텍,053610
95,00925295,에프엔씨엔터,173940
96,00250997,대정화금,120240
97,00599957,슈프리마에이치큐,094840
98,00807379,신흥에스이씨,243840
99,00378628,KH바텍,060720
100,00897752,천보,278280
101,00363246,우원개발,046940
102,00145473,이글벳,044960
103,00575106,씨유테크,376290
104,01397772,큐라클,365270
105,01441611,원티드랩,376980
106,00533508,제이엠티,094970
107,00405320,웹젠,069080
108,00203023,시노펙스,025320
109,00609661,티쓰리,204610
110,00216498,성도이엔지,037350
111,00298340,에스티아이,039440
112,01174038,자비스,254120
113,00858124,알에스오토메이션,140670
114,00335076,오픈베이스,049480
115,00441650,케이씨에스,115500
116,00127909,삼일,032280
117,00243757,인포뱅크,039290
118,00478900,빅솔론,093190
119,01405390,핌스,347770
120,01014718,제노코,361390
121,00870861,와이엠씨,155650
122,01354740,브이씨,365900
123,00231354,파워넷,037030
124,00407285,아이컴포넌트,059100
125,00239596,쎄니트,037760
126,00577335,대성하이텍,129920
127,01222432,에스제이그룹,306040
128,00174208,진성티이씨,036890
129,00659976,영화테크,265560
130,01160512,헝셩그룹,900270
131,00181299,상아프론테크,089980
132,01364747,가온칩스,399720
133,00654272,램테크놀러지,171010
134,00327819,선익시스템,171090
135,00257732,한국정밀기계,101680
136,00176516,금화피에스시,036190
137,01686755,파인엠텍,441270
138,00171867,에스씨디,042110
139,00287788,정상제이엘에스,040420
140,01047840,미스터블루,207760
141,01419135,이노진,344860
142,00587457,갤럭시아머니트리,094480
143,00124276,부스타,008470
144,00155151,피에이치에이,043370
145,00138446,아가방컴퍼니,013990
146,00269612,파워로직스,047310
147,00350482,성우테크론,045300
148,00256715,국순당,043650
149,00127936,삼일기업공사,002290
150,00447928,네오티스,085910
151,00759294,와이솔,122990
152,00445799,서원인텍,093920
153,00364306,성우전자,081580
154,00244783,한네트,052600
155,00152783,코메론,049430
156,00623661,원익머트리얼즈,104830
157,00226866,인탑스,049070
158,01101041,패션플랫폼,225590
159,01327092,라닉스,317120
160,00365758,아이앤씨,052860
161,00808022,메지온,140410
162,00296005,우리로,046970
163,01077577,우리산업,215360
164,00221728,하츠,066130
165,00761952,아나패스,123860
166,00188797,포메탈,119500
167,01069736,한독크린텍,256150
168,00374020,이엘피,063760
169,01139965,스튜디오미르,408900
170,00264228,위즈코프,038620
171,00256380,유아이엘,049520
172,00167004,흥구석유,024060
173,01199189,이랜시스,264850
174,00112721,대창스틸,140520
175,00604815,에스디시스템,121890
176,01291317,더블유씨피,393890
177,00961774,유티아이,179900
178,00154718,비츠로셀,082920
179,00350020,파인디앤씨,049120
180,00125646,삼목에스폼,018310
181,00422284,메가스터디,072870
182,00234227,유진로봇,056080
183,00527464,에이치시티,072990
184,00249982,솔본,035610
185,00540429,휴림로봇,090710
186,00398808,디지털대성,068930
187,00265005,옴니시스템,057540
188,00626011,아이텍,119830
189,00348034,액토즈소프트,052790
190,00761059,펌텍코리아,251970
191,00185356,제룡전기,033100
192,00359076,브리지텍,064480
193,00439965,나노신소재,121600
194,01487446,씨엔알리서치,359090
195,00628860,네오위즈,095660
196,00576789,디젠스,113810
197,00360674,코위버,056360
198,00133557,PN풍년,024940
199,00141608,오리엔탈정공,014940
200,00404288,아진엑스텍,059120
201,00135467,승일,049830
202,01301252,티이엠씨,425040
203,00579971,칩스앤미디어,094360
204,00364847,이글루,067920
205,00883980,아이디스,143160
206,00604426,인터로조,119610
207,00491053,진바이오텍,086060
208,00359580,아이디스홀딩스,054800
209,00201131,아즈텍WB,032080
210,00925189,신화콘텍,187270
211,00866062,엘티씨,170920
212,00305297,코텍,052330
213,00185222,크린앤사이언스,045520
214,00161781,아난티,025980
215,00612188,에스티오,098660
216,01505186,하이딥,365590
217,00137012,에스앤더블류,103230
218,00235183,에이치케이,044780
219,00807397,코이즈,121850
220,00133876,세보엠이씨,011560
221,00347062,현대바이오랜드,052260
222,00264732,파인디지털,038950
223,00879020,유니트론텍,142210
224,00295547,디지아이,043360
225,00186717,태양,053620
226,00177816,대주전자재료,078600
227,00351807,대원미디어,048910
228,01326224,원바이오젠,307280
229,00109587,대륙제관,004780
230,01196313,유에스티,263770
231,00447502,바이오톡스텍,086040
232,00261009,감성코퍼레이션,036620
233,00916826,드림씨아이에스,223250
234,01187494,덴티스,261200
235,00246417,이오테크닉스,039030
236,00406727,세진티에스,067770
237,00231664,우리기술투자,041190
238,00921916,석경에이티,357550
239,00162832,한일단조,024740
240,00266934,파루,043200
241,00369657,리노공업,058470
242,00351092,삼보모터스,053700
243,00563518,비나텍,126340
244,00360577,엑사이엔씨,054940
245,00204262,한글과컴퓨터,030520
246,00238153,파세코,037070
247,00258421,기산텔레콤,035460
248,01062867,디알텍,214680
249,00359623,우리산업홀딩스,072470
250,00240857,바이오스마트,038460
251,00306162,상상인,038540
252,00485177,일진파워,094820
253,00261355,레드캡투어,038390
254,00423177,텔레칩스,054450
255,00231442,디지틀조선,033130
256,01013311,헥토이노베이션,214180
257,01035368,티에프이,425420
258,00961570,신도기연,290520
259,00148364,하림지주,003380
260,00997812,코미코,183300
261,00695969,동운아나텍,094170
262,00537832,푸른기술,094940
263,00128926,삼현철강,017480
264,00612489,아이쓰리시스템,214430
265,00140052,에이스침대,003800
266,00367455,현우산업,092300
267,01142075,핑거,163730
268,00201742,유라테크,048430
269,00666064,셀바스AI,108860
270,00608839,에이루트,096690
271,00202839,한창산업,079170
272,00367871,인바이오,352940
273,00400060,이씨에스,067010
274,01397620,루닛,328130
275,00139083,아진산업,013310
276,00994994,나노,187790
277,00201733,TJ미디어,032540
278,01047451,셀바스헬스케어,208370
279,00569646,영우디에스피,143540
280,00152260,카스,016920
281,00398668,휴비츠,065510
282,00340272,에스폴리텍,050760
283,01158553,켄코아에어로스페이스,274090
284,00993931,동양파일,228340
285,00819073,인크로스,216050
286,01367586,제이아이테크,417500
287,01165739,잉글우드랩,950140
288,00551920,네오팜,092730
289,01488320,필에너지,378340
290,01712616,엔에이치스팩29호,451700
291,01791321,하나30호스팩,469880
292,01305869,세니젠,188260
293,01785551,KB제27호스팩,464680
294,00561723,쏘닉스,088280
